friendlyName,externalLocationId,phoneNumber,email,addressLine1,addressLine2,city,state,zipCode,country,latitude,longitude,Monday-HoursOfOperation,Tuesday-HoursOfOperation,Wednesday-HoursOfOperation,Thursday-HoursOfOperation,Friday-HoursOfOperation,Saturday-HoursOfOperation,Sunday-HoursOfOperation
The UPS Store 6016,TUPSS6016,(949) 305-2247,store6016@theupsstore.com,27472 Portola Pkwy,#205,Foothill Ranch,CA,92610,USA,33.6707441,-117.6544438,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 7125,TUPSS7125,(949) 220-7056,store7125@theupsstore.com,3406 Via Lido,Ste 1A,Newport Beach,CA,92663,USA,33.6183175,-117.9307732,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 7494,TUPSS7494,714-852-3091,store7494@theupsstore.com,270 Bristol St,Ste 101,Costa Mesa,CA,92626,USA,33.6680954,-117.8847069,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 1980,TUPSS1980,(714) 669-5400,store1980@theupsstore.com,13681 Newport Ave,Ste #8,Tustin,CA,92780,USA,33.7418537,-117.821718317,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 2075,TUPSS2075,714-288-1040,store2075@theupsstore.com,8502 E Chapman Ave,,Orange,CA,92869,USA,33.791463,-117.765341,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 15:00,Sunday 10:00 - 15:00
The UPS Store 7197,TUPSS7197,(951) 243-0000,store7197@theupsstore.com,27120 Eucalyptus Ave Unit G,,Moreno Valley,CA,92555,USA,33.9359337,-117.1899382,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 0418,TUPSS0418,(714) 842-5513,store0418@theupsstore.com,16478 Beach Blvd,,Westminster,CA,92683,USA,33.7241195,-117.9906595,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 08:30 - 17:00,Sunday 10:00 - 15:00
The UPS Store 5432,TUPSS5432,(714) 628-1829,store5432@theupsstore.com,960 N Tustin St,,Orange,CA,92867,USA,33.8033343,-117.8387026,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 08:30 - 16:30,Sunday 10:00 - 15:00
The UPS Store 5667,TUPSS5667,(714)999-1435,store5667@theupsstore.com,174 W LINCOLN AVE,,ANAHEIM,CA,92805,USA,33.836118,-117.915551,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 4845,TUPSS4845,(714) 996-9800,store4845@theupsstore.com,18340 Yorba Linda Blvd Ste 107,,Yorba Linda,CA,92886,USA,33.8877793,-117.8155506,Monday 08:00 - 19:00,Tuesday 08:00 - 19:00,Wednesday 08:00 - 19:00,Thursday 08:00 - 19:00,Friday 08:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 4097,TUPSS4097,(714)870-4100,store4097@theupsstore.com,2271 W MALVERN AVE,,FULLERTON,CA,92833,USA,33.877682,-117.965796,Monday 08:30 - 19:30,Tuesday 08:30 - 19:30,Wednesday 08:30 - 19:30,Thursday 08:30 - 19:30,Friday 08:30 - 19:30,Saturday 09:00 - 18:00,Sunday 10:00 - 15:00
The UPS Store 6589,TUPSS6589,(909)465-1688,store6589@theupsstore.com,6939 SCHAEFER AVE,STE D,CHINO,CA,91710,USA,34.003409,-117.65342,Monday 08:30 - 19:00,Tuesday 08:30 - 19:00,Wednesday 08:30 - 19:00,Thursday 08:30 - 19:00,Friday 08:30 - 19:00,Saturday 09:00 - 16:00,Sunday Closed
The UPS Store 5126,TUPSS5126,(562) 690-6848,store5126@theupsstore.com,921 N Harbor Blvd,,La Habra,CA,90631,USA,33.9404465,-117.936375,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 16:00
The UPS Store 4466,TUPSS4466,(562)981-6245,store4466@theupsstore.com,3553 ATLANTIC AVE,STE B,LONG BEACH,CA,90807,USA,33.821155,-118.18503,Monday 07:30 - 19:00,Tuesday 07:30 - 19:00,Wednesday 07:30 - 19:00,Thursday 07:30 - 19:00,Friday 07:30 - 19:00,Saturday 08:30 - 17:00,Sunday 10:00 - 15:00
The UPS Store 1703,TUPSS1703,(909)425-8998,store1703@theupsstore.com,7231 BOULDER AVE,,HIGHLAND,CA,92346-3313,USA,34.122897,-117.193965,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 08:00 - 16:00,Sunday 10:00 - 15:00
The UPS Store 5630,TUPSS5630,(562)630-2652,store5630@theupsstore.com,13536 LAKEWOOD BLVD,,BELLFLOWER,CA,90706,USA,33.90446,-118.142835,Monday 09:00 - 19:30,Tuesday 09:00 - 19:30,Wednesday 09:00 - 19:30,Thursday 09:00 - 19:30,Friday 09:00 - 19:00,Saturday 10:30 - 16:30,Sunday Closed
The UPS Store 7531,TUPSS7531,(424) 541-9002,store7531@theupsstore.com,112 S Market St,,Inglewood,CA,90301,USA,33.9625792,-118.3518076,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
Certifix Live Scan - Los Angeles,Certifix - Los Angeles,(213) 802-2150,losangeles@certifix.com,453 S Spring St.,Ste 400,Los Angeles,CA,90013,USA,34.047787,-118.2495256,Monday 08:30 - 17:00,Tuesday 08:30 - 17:00,Wednesday 08:30 - 17:00,Thursday 08:30 - 17:00,Friday 08:30 - 17:00,Saturday Closed,Sunday Closed
The UPS Store 6993,TUPSS6993,(213) 600-9200,store6993@theupsstore.com,1360 S Figueroa St,Suite D,Los Angeles,CA,90015,USA,34.0391689,-118.2708465,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 4381,TUPSS4381,323-460-6323,store4381@theupsstore.com,5419 Hollywood Blvd,Ste C,Los Angeles,CA,90027,USA,34.1019437,-118.3101897,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
Certifix Live Scan - Santa Monica,Certifix - Santa Monica,(424) 330-2041,santamonica@certifix.com,3101 Ocean Park Blvd,Ste 100,Santa Monica,CA,90405,USA,34.0209161,-118.452871,Monday 09:30 - 17:00,Tuesday 09:30 - 17:00,Wednesday 09:30 - 17:00,Thursday 09:30 - 17:00,Friday 09:30 - 17:00,Saturday Closed,Sunday Closed
The UPS Store 5698,TUPSS5698,(760)240-4817,store5698@theupsstore.com,12277 APPLE VALLEY RD,,APPLE VALLEY,CA,92308,USA,34.474637,-117.241091,Monday 10:00 - 15:00,Tuesday 10:00 - 15:00,Wednesday 10:00 - 15:00,Thursday 10:00 - 15:00,Friday 10:00 - 15:00,Saturday Closed,Sunday Closed
The UPS Store 6917,TUPSS6917,818-747-2431,store6917@theupsstore.com,13027 Victory Blvd,,North Hollywood,CA,91606,USA,34.1886694,-118.4187043,Monday 08:00 - 20:00,Tuesday 08:00 - 20:00,Wednesday 08:00 - 20:00,Thursday 08:00 - 20:00,Friday 08:00 - 20:00,Saturday 10:00 - 17:00,Sunday Closed
The UPS Store 5626,TUPSS5626,(818)767-9927,store5626@theupsstore.com,8309 LAUREL CANYON BLVD,,SUN VALLEY,CA,91352,USA,34.2219,-118.397756,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:30 - 17:30,Sunday Closed
The UPS Store 7414,TUPSS7414,(818) 855-1082,store7414@theupsstore.com,17631 Ventura Blvd,,Encino,CA,91316,USA,34.1629678,-118.5193345,Monday 08:00 - 19:00,Tuesday 08:00 - 19:00,Wednesday 08:00 - 19:00,Thursday 08:00 - 19:00,Friday 08:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:30 - 15:30
The UPS Store 7534,TUPSS7534,(818) 805-3553,store7534@theupsstore.com,8352 Topanga Canyon Blvd,,Canoga Park,CA,91304,USA,34.2215091,-118.6053882,Monday 08:30 - 19:00,Tuesday 08:30 - 19:00,Wednesday 08:30 - 19:00,Thursday 08:30 - 19:00,Friday 08:30 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 6842,TUPSS6842,(661)678-0153,store6842@theupsstore.com,24820 ORCHARD VILLAGE,STE A,SANTA CLARITA,CA,91355,USA,34.380666,-118.54019,Monday Closed,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 10:00 - 15:30,Sunday Closed
The UPS Store 4440,TUPSS4440,(805)577-9500,store4440@theupsstore.com,1230-5 MADERA ROAD,,SIMI VALLEY,CA,93065,USA,34.260918,-118.794914,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 14:00,Sunday 09:30 - 15:00
The UPS Store 2531,TUPSS2531,(661)726-9135,store2531@theupsstore.com,2010 WEST AVENUE K,,LANCASTER,CA,93536-5229,USA,34.674997,-118.166108,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 6587,TUPSS6587,(805)535-4053,store6587@theupsstore.com,4744 Telephone Rd,STE 3,VENTURA,CA,93003,USA,34.25943,-119.233234,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 08:30 - 16:30,Sunday Closed
The UPS Store 3412,TUPSS3412,(805)898-0011,store3412@theupsstore.com,3905 STATE ST,STE 7,SANTA BARBARA,CA,93105-5107,USA,34.440176,-119.75181,Monday 09:00 - 18:00,Tuesday 09:00 - 18:00,Wednesday 09:00 - 18:00,Thursday 09:00 - 18:00,Friday 09:00 - 18:00,Saturday 09:00 - 15:00,Sunday Closed
The UPS Store 6623,TUPSS6623,(661)778-0978,store6623@theupsstore.com,550 WOOLLOMES AVE,STE 103,DELANO,CA,93215,USA,35.745795,-119.247743,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 1665,TUPSS1665,(805)922-8987,store1665@theupsstore.com,237 TOWN CENTER W,,SANTA MARIA,CA,93458,USA,34.950813,-120.436984,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 08:00 - 14:00,Sunday 08:00 - 15:00
The UPS Store 6590,TUPSS6590,(702)727-8965,store6590@theupsstore.com,8545 W WARM SPRINGS RD,STE A-4,LAS VEGAS,NV,89113-3625,USA,36.054169,-115.278188,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 08:00 - 16:00,Sunday Closed
The UPS Store 1307,TUPSS1307,(559)783-6363,store1307@theupsstore.com,1279 W HENDERSON AVE,,PORTERVILLE,CA,93257-1454,USA,36.080397,-119.046026,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 16:00,Sunday 10:00 - 15:00
The UPS Store 4213,TUPSS4213,(702)396-3120,store4213@theupsstore.com,6440 SKYPOINTE DR,STE 140,LAS VEGAS,NV,89131,USA,36.279769,-115.261723,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 16:00,Sunday Closed
The UPS Store 2056,TUPSS2056,(559)738-1105,store2056@theupsstore.com,4216 S MOONEY BLVD,,VISALIA,CA,93277-9306,USA,36.291609,-119.312966,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 16:00
The UPS Store 0225,TUPSS0225,(623) 842-3505,store0225@theupsstore.com,6001 N 43Rd Ave,,Phoenix,AZ,85019,USA,33.5249632,-112.1518236,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday 12:00 - 17:00
The UPS Store 4870,TUPSS4870,602-870-3887,store4870@theupsstore.com,3039 W Peoria Avenue,Suite C102,Pheonix,AZ,85029,USA,33.5813981,-112.1273894,Monday 08:00 - 20:00,Tuesday 08:00 - 20:00,Wednesday 08:00 - 20:00,Thursday 08:00 - 20:00,Friday 08:00 - 20:00,Saturday 09:00 - 17:00,Sunday 11:00 - 15:00
The UPS Store 5340,TUPSS5340,(602) 864-3646,store5340@theupsstore.com,8050 N 19Th Ave,,Phoenix,AZ,85021,USA,33.5551793,-112.1027756,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 2460,TUPSS2460,(602) 248-9300,store2460@theupsstore.com,24 W Camelback Rd,,Phoenix,AZ,85013,USA,33.5097818,-112.0780036,Monday 08:00 - 20:00,Tuesday 08:00 - 20:00,Wednesday 08:00 - 20:00,Thursday 08:00 - 20:00,Friday 08:00 - 20:00,Saturday 09:00 - 17:00,Sunday 12:00 - 17:00
The UPS Store 6120,TUPSS6120,(602)258-1995,store6120@theupsstore.com,530 E MCDOWELL RD,#107,PHOENIX,AZ,85004,USA,33.466334,-112.06578,Monday 07:30 - 18:30,Tuesday 07:30 - 18:30,Wednesday 07:30 - 18:30,Thursday 07:30 - 18:30,Friday 07:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 4850,TUPSS4850,(602) 889-8888,store4850@theupsstore.com,2320 E Baseline Rd,,Phoenix,AZ,85042,USA,33.3797269,-112.0331517,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 4010,TUPSS4010,(602) 548-5512,store4010@theupsstore.com,428 E Thunderbird Road,,Phoenix,AZ,85022,USA,33.6081893,-112.0689448,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 4910,TUPSS4910,(602) 252-7447,store4910@theupsstore.com,3317 E Bell Rd,Ste 101,Pheonix,AZ,85032,USA,33.6401693,-112.013194,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 5570,TUPSS5570,(480)889-0060,store5570@theupsstore.com,315 W ELLIOT RD,STE 107,TEMPE,AZ,85284,USA,33.349124,-111.944181,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 4030,TUPSS4030,(480)883-0804,store4030@theupsstore.com,4980 S Alma School Rd,Ste A2,Chandler,AZ,85248,USA,33.2330225,-111.8624618,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 15:00,Sunday 10:00 - 15:00
The UPS Store 5060,TUPSS5060,(480)889-0752,store5060@theupsstore.com,1955 WEST BASELINE RD,STE 113,MESA,AZ,85202,USA,33.377473,-111.877287,Monday 11:30 - 15:00,Tuesday 11:30 - 15:00,Wednesday 11:30 - 15:00,Thursday 11:30 - 15:00,Friday 11:30 - 15:00,Saturday Closed,Sunday Closed
The UPS Store 7001,TUPSS7001,(480) 758-4485,store7001@theupsstore.com,18291 N Pima Rd,,Scottsdale,AZ,85255,USA,33.6537753,-111.8884378,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 16:00,Sunday Closed
The UPS Store 4140,TUPSS4140,(480)473-7500,store4140@theupsstore.com,28150 N ALMA SCHOOL RD,STE 103,SCOTTSDALE,AZ,85262,USA,33.740769,-111.843208,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 08:30 - 16:30,Sunday Closed
The UPS Store 6629,TUPSS6629,(559)432-5011,store6629@theupsstore.com,2037 W BULLARD AVE,,FRESNO,CA,93711-1200,USA,36.82182,-119.827512,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 16:00,Sunday Closed
The UPS Store 3690,TUPSS3690,(480) 641-1744,store3690@theupsstore.com,2733 N Power Road,Ste 102,Mesa,AZ,85215,USA,33.4655454,-111.6818553,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 1550,TUPSS1550,(928) 282-1967,store1550@theupsstore.com,2370 W Hwy 89A,Ste 11,Sedona,AZ,86336,USA,34.8637675,-111.8296791,Monday 07:30 - 18:00,Tuesday 07:30 - 18:00,Wednesday 07:30 - 18:00,Thursday 07:30 - 18:00,Friday 07:30 - 18:00,Saturday 09:30 - 16:00,Sunday 10:00 - 15:00
The UPS Store 3722,TUPSS3722,(520)573-1554,store3722@theupsstore.com,1645 W VALENCIA RD,#109,TUCSON,AZ,85746-6032,USA,32.132549,-110.999619,Monday 09:00 - 17:00,Tuesday 09:00 - 17:00,Wednesday 09:00 - 17:00,Thursday 09:00 - 17:00,Friday 09:00 - 17:00,Saturday 09:00 - 15:00,Sunday Closed
The UPS Store 2452,TUPSS2452,(209)723-8543,store2452@theupsstore.com,3144 G STREET,STE 125,MERCED,CA,95340-1385,USA,37.319937,-120.469196,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 10:00 - 15:30,Sunday 10:00 - 15:00
The UPS Store 0658,TUPSS0658,(831) 443-5800,store0658@theupsstore.com,1628 N Main St,,Salinas,CA,93906,USA,36.7138369,-121.6553817,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 10:00 - 16:00,Sunday Closed
Certifix Live Scan - Monterey,Certifix - Monterey,(831) 221-5583,monterey@certifix.com,140 West Franklin Street,Ste 203,Monterey,CA,93940,USA,36.6001593,-121.8948153,Monday 09:00 - 17:30,Tuesday 09:00 - 17:30,Wednesday 09:00 - 17:30,Thursday 09:00 - 17:30,Friday 09:00 - 17:30,Saturday Closed,Sunday Closed
The UPS Store 1506,TUPSS1506,(209) 524-0900,store1506@theupsstore.com,2401 E Orangeburg Ave,Ste 675,Modesto,CA,95355,USA,37.6639199,-120.9571267,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 7100,TUPSS7100,(209) 488-4999,store7100@theupsstore.com,2100 Standiford Ave Ste 12,,Modesto,CA,95350,USA,37.6887821,-121.0361252,Monday 08:30 - 19:00,Tuesday 08:30 - 19:00,Wednesday 08:30 - 19:00,Thursday 08:30 - 19:00,Friday 08:30 - 19:00,Saturday 09:00 - 17:00,Sunday 11:00 - 16:00
The UPS Store 3648,TUPSS3648,(408)298-8778,store3648@theupsstore.com,1346 THE ALAMEDA,STE 7,SAN JOSE,CA,95126-5006,USA,37.332829,-121.912834,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 09:00 - 17:00,Sunday Closed
